,id,created_at,tweet,cleaned_tweet,sentiment,hour,date,weekday,month,year,created_at_date,sort_weekday,sort_month,tweet_length,polarity
0,1275423803519229952,2020-06-22 19:41:45-06:00,"La carta del Presidente @nayibbukele la interpreto como un pedido de auxilio, ya que no tiene las facultades para c… https://t.co/NFv9OwKBM1",caa presidente interpreto pedido auxilio facultades c,0.23994629089607655,19,22,Monday,June,2020,2020-06-22,7,6,140,0
1,1275422386343600131,2020-06-22 19:36:07-06:00,"Estaba viendo el último tweet que puso Eduardo Navas, el 13 de junio y lo que Él escribió es que el Poder de la Ora… https://t.co/gvVLDqdWE6",viendo último tweet puso eduardo navas 13 junio escribió poder ora,0.22297299901732454,19,22,Monday,June,2020,2020-06-22,7,6,140,1
2,1275421552927014916,2020-06-22 19:32:49-06:00,Tenemos un Presidente @nayibbukele @PresidenciaSV que quiere hacer las cosas diferentes y que está con su pueblo po… https://t.co/PWaD543knc,presidente quiere hacer cosas diferentes pueblo po,0.3214541166641256,19,22,Monday,June,2020,2020-06-22,7,6,140,0
3,1275421111237435393,2020-06-22 19:31:03-06:00,"Se los he dicho a este grupito que anda con @JohnnyWSol y a cualquier otro, que ni se les ocurra querer destituir a… https://t.co/7vX3lkRiFx",dicho grupito anda cualquier ocurra querer destituir,0.049078039953398114,19,22,Monday,June,2020,2020-06-22,7,6,140,1
4,1275420558793064448,2020-06-22 19:28:52-06:00,"Sobre el Proceso de Destitución que andan promoviendo algunos, la luz de alerta nos la dio @JohnnyWSol seguido de u… https://t.co/MG5TSRV9mq",proceso destitución andan promoviendo luz alea dio seguido u,0.11276674347018655,19,22,Monday,June,2020,2020-06-22,7,6,140,1
5,1275419457419083776,2020-06-22 19:24:29-06:00,"Vemos a esta gente criticar por criticar, cómo es posible que gente afines a ARENA y FMLN se pongan a criticar al G… https://t.co/qRq6SZ7izh",vemos gente criticar criticar cómo posible gente afines arena fmln pongan criticar g,0.1535144253003269,19,22,Monday,June,2020,2020-06-22,7,6,140,0
6,1275418664116916224,2020-06-22 19:21:20-06:00,"Al final no es al Presidente al que dañan, es al Pueblo Salvadoreño. Tenemos una situación grave, es momento de pen… https://t.co/QOBO9wBsNw",final presidente dañan pueblo salvadoreño situación grave momento pen,0.05513558653451252,19,22,Monday,June,2020,2020-06-22,7,6,140,0
7,1275418210964291585,2020-06-22 19:19:32-06:00,"Ayer vimos en la @AsambleaSV al @ChatoVargasSV que es uno de los voceros de esos grupos, como leía un discurso que… https://t.co/X3Q24rNg5x",ayer vimos voceros grupos leía discurso,0.27008097829997296,19,22,Monday,June,2020,2020-06-22,7,6,139,0
8,1275416825489248256,2020-06-22 19:14:01-06:00,"Estos Diputados de Oposición no le han querido dar vida al Fideicomiso para @BANDESAL por unos $600MM de dólares, p… https://t.co/N0Qplmcolb",diputados oposición querido dar vida fideicomiso 600mm dólares p,0.0014487963973063257,19,22,Monday,June,2020,2020-06-22,7,6,140,1
9,1275415673238413312,2020-06-22 19:09:27-06:00,"Lo que no le gusta a FUSADES es que no se les tomó en cuenta a ellos para crear las Fases de reapertura económica,… https://t.co/kmC9sAbg4w",gusta fusades tomó cuenta crear fases reapeura económica,0.2759373556646501,19,22,Monday,June,2020,2020-06-22,7,6,139,0
10,1275414674348089347,2020-06-22 19:05:29-06:00,Cuando estamos en la etapa más crítica del #COVID19 le quitan facultades al Presidente de la República @nayibbukele… https://t.co/OxQxBpkI4J,etapa crítica quitan facultades presidente república,0.1265524303949974,19,22,Monday,June,2020,2020-06-22,7,6,140,0
11,1275414169462898689,2020-06-22 19:03:28-06:00,"Toda la información requerida al Gobierno se les ha hecho llegar a la @AsambleaSV , ya ARENA y FMLN no pueden segui… https://t.co/wH43KGqWc3",toda información requerida gobierno hecho llegar arena fmln pueden segui,0.04115413054780009,19,22,Monday,June,2020,2020-06-22,7,6,140,1
12,1275413495828357120,2020-06-22 19:00:48-06:00,"La preocupación principal, independientemente de lo que pudiera pasar, debe de ser la salud y vida de los Salvadore… https://t.co/fNq2f3zd4r",preocupación principal independientemente pudiera pasar debe ser salud vida salvadore,0.5982880512714013,19,22,Monday,June,2020,2020-06-22,7,6,140,0
13,1275412939965698048,2020-06-22 18:58:35-06:00,"Aquí alguien deberá pagar esta factura y sin duda ARENA y FMLN por caprichos e intereses políticos, le han venido b… https://t.co/YbVTrnKTim",aquí alguien deberá pagar factura duda arena fmln caprichos intereses políticos venido b,0.04868583824962907,18,22,Monday,June,2020,2020-06-22,7,6,140,0
14,1275412075318333442,2020-06-22 18:55:09-06:00,No es posible que El Salvador sea el único país que su Presidente @nayibbukele no pueda manejar esta Emergencia por… https://t.co/6XIXbDF8rp,posible salvador único país presidente pueda manejar emergencia,0.018889868294426553,18,22,Monday,June,2020,2020-06-22,7,6,140,0
15,1275410910648176643,2020-06-22 18:50:31-06:00,"Hay mucha gente que anda en la calle innecesariamente, gente haciendo deporte sin mascarillas, aglomeraciones en al… https://t.co/SjKkkKBCXD",mucha gente anda calle innecesariamente gente haciendo depoe mascarillas aglomeraciones,0.4802147260149473,18,22,Monday,June,2020,2020-06-22,7,6,140,0
16,1275410056893419526,2020-06-22 18:47:08-06:00,El Presidente @nayibbukele ha enviado esta Carta a la @AsambleaSV justamente porque le han quitado esas facultades… https://t.co/hE3uhOcgEO,presidente enviado caa justamente quitado facultades,0.3303617333850407,18,22,Monday,June,2020,2020-06-22,7,6,139,0
17,1275409434236289024,2020-06-22 18:44:39-06:00,"Quiero expresar en primer lugar mi profundo pésame por el fallecimiento de Eduardo Navas, un gran profesional y ami… https://t.co/cZn2ybaUJ1",quiero expresar primer lugar profundo pésame fallecimiento eduardo navas gran profesional ami,0.07203605610129715,18,22,Monday,June,2020,2020-06-22,7,6,140,1
18,1275407694027988995,2020-06-22 18:37:44-06:00,En minutos estaré en entrevista con @manu_Hechos a las 6:30am. por @Canal_12 tratando temas de Coyuntura Legislativ… https://t.co/f1RbfRKghP,minutos entrevista 630am tratando temas coyuntura legislativ,0.0877978617250145,18,22,Monday,June,2020,2020-06-22,7,6,140,1
19,1275395839880499201,2020-06-22 17:50:38-06:00,Salmos 121:8:8 Jehová guardará tu salida y tu entrada desde ahora y para siempre.,salmos 12188 jehová guardará salida entrada ahora siempre,0.3347085089142813,17,22,Monday,June,2020,2020-06-22,7,6,81,1
